avg_dist,avg_rating_by_driver,avg_rating_of_driver,avg_surge,city,last_trip_date,phone,signup_date,surge_pct,trips_in_first_30_days,luxury_car_user,weekday_pct
2.53,3,,1,Winterfell,3/16/2014,Android,1/31/2014,0,1,FALSE,50
3.31,5,,1,Astapor,4/29/2014,iPhone,1/9/2014,0,1,FALSE,100
11.47,5,,1,Winterfell,5/2/2014,iPhone,1/24/2014,0,0,FALSE,100
7.74,5,5,1,King's Landing,6/13/2014,Android,1/21/2014,0,0,TRUE,100
2.1,4.7,4.5,1.02,Astapor,5/18/2014,iPhone,1/19/2014,9.1,4,FALSE,36.4
14.48,5,,1,Winterfell,1/3/2014,iPhone,1/2/2014,0,1,TRUE,100
1.66,5,4,1,Astapor,1/22/2014,Android,1/16/2014,0,1,FALSE,100
3.05,5,5,1.05,Winterfell,3/5/2014,iPhone,1/19/2014,20,3,FALSE,100
5.97,5,,1.5,Winterfell,6/8/2014,iPhone,1/19/2014,100,0,FALSE,0
11.25,5,4,1,Astapor,2/27/2014,Android,1/27/2014,0,1,FALSE,100
6.12,4.8,5,1,Astapor,2/7/2014,iPhone,1/26/2014,0,4,TRUE,25
11.86,5,4.9,1,Winterfell,6/14/2014,iPhone,1/25/2014,0,1,FALSE,40
10.01,5,4,2,Winterfell,6/10/2014,iPhone,1/5/2014,100,1,FALSE,100
4.48,5,,1,Winterfell,2/28/2014,iPhone,1/27/2014,0,1,TRUE,100
4.12,5,,1.25,Astapor,1/17/2014,Android,1/16/2014,100,1,FALSE,100
14.16,5,5,1,King's Landing,2/21/2014,Android,1/17/2014,0,2,FALSE,100
2.43,4.5,,1,Astapor,6/25/2014,iPhone,1/21/2014,0,2,FALSE,50
1.38,5,4,1,Astapor,4/26/2014,iPhone,1/2/2014,0,0,FALSE,50
4.69,4.8,4.9,1.04,King's Landing,6/30/2014,iPhone,1/22/2014,5.8,24,TRUE,61.6
13.73,5,,1,King's Landing,6/23/2014,iPhone,1/9/2014,0,1,TRUE,100
0.83,5,4,1,Winterfell,2/1/2014,iPhone,1/31/2014,0,2,FALSE,50
3.8,5,4,1.88,Winterfell,5/10/2014,iPhone,1/18/2014,50,0,FALSE,0
5.72,5,4,1.5,Winterfell,1/26/2014,Android,1/25/2014,100,1,FALSE,0
16.52,5,4.5,1,Winterfell,3/17/2014,iPhone,1/13/2014,0,1,FALSE,50
1.4,5,5,1,King's Landing,6/18/2014,iPhone,1/22/2014,0,2,TRUE,66.7
3,4.2,4,1,Astapor,4/19/2014,Android,1/10/2014,0,3,FALSE,50
2.93,5,5,1.33,Astapor,1/22/2014,iPhone,1/20/2014,33.3,6,FALSE,100
3.61,5,5,1.25,Winterfell,1/19/2014,iPhone,1/18/2014,100,1,FALSE,0
1.75,4.8,4.8,1,Winterfell,1/28/2014,iPhone,1/4/2014,0,4,FALSE,100
10.54,4.7,4.4,1,Winterfell,6/19/2014,iPhone,1/4/2014,0,2,FALSE,71.4
3.25,5,5,1.25,Winterfell,2/15/2014,Android,1/4/2014,100,0,FALSE,0
3.24,5,4.5,1,Winterfell,5/2/2014,Android,1/2/2014,0,4,FALSE,52.4
4.98,5,5,1,Winterfell,6/1/2014,iPhone,1/12/2014,0,0,FALSE,80
3.15,4.8,4.4,1.56,Astapor,5/16/2014,iPhone,1/17/2014,22.2,6,TRUE,22.2
4.94,5,3.5,1.5,Winterfell,6/15/2014,iPhone,1/10/2014,50,2,FALSE,50
36.01,5,4,1,Winterfell,1/17/2014,iPhone,1/4/2014,0,1,FALSE,100
23.49,5,2.5,1,Astapor,4/29/2014,Android,1/9/2014,0,1,FALSE,100
10.21,5,4.3,1,Astapor,3/10/2014,Android,1/31/2014,0,0,FALSE,66.7
2.6,5,5,1,Astapor,4/20/2014,iPhone,1/5/2014,0,0,FALSE,40
6.05,4.5,5,1.25,Astapor,3/29/2014,iPhone,1/25/2014,100,1,FALSE,0
3.01,5,,1,Astapor,1/5/2014,iPhone,1/4/2014,0,1,TRUE,0
4.66,5,,1,Astapor,2/2/2014,iPhone,1/31/2014,0,1,FALSE,0
4.81,4.8,4.5,1.06,King's Landing,5/9/2014,iPhone,1/30/2014,25,0,FALSE,75
2.21,4.8,4.8,1.03,Astapor,6/29/2014,iPhone,1/29/2014,5.4,3,FALSE,54.1
6.12,5,,1.17,Astapor,5/4/2014,Android,1/11/2014,33.3,1,FALSE,66.7
10.37,5,5,1,Winterfell,3/19/2014,iPhone,1/20/2014,0,1,FALSE,75
2.42,5,5,1,Winterfell,1/28/2014,iPhone,1/7/2014,0,1,TRUE,100
1.89,5,5,1,Winterfell,6/13/2014,Android,1/18/2014,0,0,FALSE,100
4.44,5,5,1,King's Landing,6/15/2014,iPhone,1/1/2014,0,0,TRUE,0
2.61,4.8,3.9,1.09,Astapor,6/17/2014,iPhone,1/18/2014,10.5,5,TRUE,63.2
4.46,5,5,1,Astapor,4/23/2014,iPhone,1/8/2014,0,0,FALSE,100
1.02,5,5,1,Astapor,1/1/2014,Android,1/1/2014,0,1,FALSE,100
0,3,5,1,Astapor,1/8/2014,iPhone,1/7/2014,0,1,FALSE,100
37.11,5,5,1,Astapor,1/25/2014,iPhone,1/19/2014,0,2,FALSE,0
2.3,4.9,5,1.35,King's Landing,6/10/2014,iPhone,1/24/2014,36,7,FALSE,84
1.45,4,5,1,Winterfell,4/27/2014,Android,1/21/2014,0,0,FALSE,0
2.47,5,4.8,1,Astapor,1/30/2014,iPhone,1/26/2014,0,5,FALSE,100
19.8,5,,1,Astapor,2/3/2014,iPhone,1/1/2014,0,0,FALSE,100
1.82,4,5,1,Winterfell,4/20/2014,iPhone,1/23/2014,0,1,FALSE,0
10.49,5,5,1,Astapor,6/1/2014,Android,1/23/2014,0,0,TRUE,66.7
3.99,5,4,1.5,Astapor,5/3/2014,iPhone,1/12/2014,25,0,FALSE,50
17.89,4,4,3.5,Winterfell,2/5/2014,Android,1/25/2014,100,1,TRUE,100
4.61,4.8,4,1.11,Winterfell,6/20/2014,iPhone,1/6/2014,18.2,1,TRUE,81.8
2.6,4.7,4.8,1.03,King's Landing,6/29/2014,iPhone,1/3/2014,5.3,7,FALSE,63.2
5.01,5,4,1,Astapor,6/30/2014,iPhone,1/9/2014,0,0,TRUE,100
2.42,4.8,5,1,Winterfell,4/28/2014,iPhone,1/27/2014,0,4,FALSE,100
3.55,4.9,4.7,1.17,King's Landing,5/25/2014,iPhone,1/20/2014,25,9,TRUE,66.7
3.06,4.7,5,1,Winterfell,7/1/2014,iPhone,1/23/2014,0,6,TRUE,67.6
3.3,4.8,5,1,King's Landing,6/29/2014,iPhone,1/5/2014,0,3,FALSE,42.9
4.67,5,5,1,Astapor,5/18/2014,iPhone,1/19/2014,0,0,TRUE,0
6.28,,5,1,Winterfell,2/9/2014,iPhone,1/10/2014,0,1,FALSE,0
10.83,5,5,1,Astapor,6/26/2014,Android,1/18/2014,0,3,TRUE,50
1.55,4.5,3.7,1,Winterfell,6/27/2014,iPhone,1/2/2014,0,7,FALSE,55.2
1.13,4.4,4,1,Winterfell,5/28/2014,Android,1/5/2014,0,5,FALSE,80
23.34,4,1,1,Astapor,1/18/2014,iPhone,1/17/2014,0,1,TRUE,0
1.35,4,,1,Astapor,1/23/2014,iPhone,1/23/2014,0,1,TRUE,100
4.89,4.6,4.1,1,Winterfell,7/1/2014,iPhone,1/26/2014,1.9,11,TRUE,76.9
5.36,5,5,1,Astapor,1/11/2014,Android,1/7/2014,0,4,TRUE,75
4.2,5,4.3,1.02,King's Landing,6/19/2014,iPhone,1/18/2014,10,1,FALSE,90
2.86,4.9,4.9,1,Astapor,3/5/2014,Android,1/27/2014,0,73,TRUE,89.7
8.3,5,,1,Astapor,6/2/2014,iPhone,1/17/2014,0,0,FALSE,100
6.08,5,5,1.17,Astapor,5/25/2014,Android,1/18/2014,16.7,1,FALSE,33.3
2.15,4.9,4.2,1,King's Landing,6/25/2014,iPhone,1/31/2014,0,8,TRUE,50
6.86,4.9,4.4,1,Winterfell,6/22/2014,iPhone,1/30/2014,0,2,TRUE,50
4.08,4.9,3,1,Winterfell,6/28/2014,iPhone,1/1/2014,0,3,TRUE,63.6
4.99,5,5,1,Winterfell,6/23/2014,Android,1/20/2014,0,0,FALSE,0
1.63,5,,1,Astapor,4/6/2014,Android,1/4/2014,0,0,FALSE,0
10.79,4.9,4.9,1.09,King's Landing,6/29/2014,iPhone,1/7/2014,15.9,14,FALSE,50
9.14,5,3,1,Astapor,1/8/2014,iPhone,1/3/2014,0,1,FALSE,100
3.07,5,,1,Astapor,4/14/2014,Android,1/19/2014,0,1,FALSE,66.7
5.25,5,5,1,Astapor,6/11/2014,iPhone,1/25/2014,0,2,TRUE,50
3.81,5,4.7,1,King's Landing,6/17/2014,iPhone,1/9/2014,0,1,TRUE,100
2.65,5,4.8,1,Astapor,6/29/2014,iPhone,1/9/2014,0,1,TRUE,36.4
10.29,3.7,5,1,Winterfell,3/29/2014,Android,1/1/2014,0,1,FALSE,33.3
12.32,4.7,4.4,1.05,Winterfell,6/28/2014,Android,1/8/2014,9.1,1,FALSE,63.6
1.16,4.3,4,1,Astapor,4/9/2014,iPhone,1/7/2014,0,0,FALSE,100
0,5,5,1,Winterfell,1/11/2014,Android,1/10/2014,0,1,FALSE,100
2.64,5,2.5,1.63,Astapor,4/17/2014,iPhone,1/10/2014,50,1,FALSE,100
16.85,5,5,1,Winterfell,6/10/2014,iPhone,1/14/2014,0,0,TRUE,85.7
4.14,5,,2.5,Astapor,1/12/2014,Android,1/11/2014,100,1,FALSE,0
2.67,4.9,4.3,1.06,Astapor,5/23/2014,Android,1/15/2014,11.1,3,TRUE,88.9
5.55,4.8,4.9,1,Winterfell,6/15/2014,iPhone,1/7/2014,0,2,TRUE,41.2
1.58,5,5,1,King's Landing,6/23/2014,iPhone,1/17/2014,0,0,FALSE,0
1.78,5,5,1,Astapor,4/3/2014,Android,1/25/2014,0,0,TRUE,33.3
6.1,4.8,5,1,Winterfell,6/5/2014,iPhone,1/21/2014,0,0,TRUE,100
8.14,4.6,4.4,1.32,Winterfell,3/16/2014,iPhone,1/10/2014,20,0,TRUE,90
6.04,4.5,5,1,Astapor,1/17/2014,Android,1/16/2014,0,2,FALSE,100
2.92,5,4,1.38,Winterfell,6/28/2014,Android,1/19/2014,50,2,TRUE,0
2.81,4.3,4.8,1.3,Astapor,4/20/2014,iPhone,1/26/2014,20,0,FALSE,20
2,5,5,1,Winterfell,1/12/2014,iPhone,1/11/2014,0,3,FALSE,0
7.4,5,4.5,1,Astapor,5/25/2014,Android,1/31/2014,0,0,TRUE,0
1.2,4,5,1,Astapor,3/27/2014,Android,1/12/2014,0,0,FALSE,100
2.64,5,5,1,King's Landing,6/6/2014,iPhone,1/25/2014,0,0,TRUE,100
3.33,4.8,3.8,1.06,Winterfell,6/30/2014,iPhone,1/10/2014,25,2,TRUE,37.5
2.88,5,5,1,King's Landing,6/11/2014,,1/10/2014,0,0,FALSE,100
1.99,5,,1.75,Winterfell,1/18/2014,iPhone,1/17/2014,100,1,FALSE,100
3.22,4.5,4.9,1,Winterfell,6/28/2014,iPhone,1/19/2014,0,4,FALSE,43.8
13.78,5,5,1,Winterfell,1/3/2014,iPhone,1/2/2014,0,1,FALSE,100
8.2,5,,1,Astapor,5/31/2014,iPhone,1/7/2014,0,0,TRUE,0
10.47,4.6,4.4,1,King's Landing,6/13/2014,iPhone,1/18/2014,0,4,TRUE,45.5
2.27,5,5,1,King's Landing,6/8/2014,iPhone,1/18/2014,0,2,TRUE,16.7
1.68,4.7,3.8,1.06,Winterfell,5/25/2014,Android,1/1/2014,8.3,3,FALSE,41.7
3.57,4.8,4.5,1.1,King's Landing,6/25/2014,iPhone,1/26/2014,10,1,TRUE,10
11.63,4.8,5,1,King's Landing,6/23/2014,iPhone,1/17/2014,0,2,FALSE,40
0.95,5,5,1,Winterfell,6/21/2014,iPhone,1/16/2014,0,0,TRUE,100
4.86,4.7,5,1.03,King's Landing,6/24/2014,iPhone,1/4/2014,2.3,11,TRUE,57.5
4.97,5,5,1,Winterfell,3/28/2014,iPhone,1/14/2014,0,0,TRUE,100
5.44,4.6,3.7,1.09,Winterfell,7/1/2014,iPhone,1/25/2014,3.8,7,FALSE,57.7
2.64,5,,1,Winterfell,5/21/2014,iPhone,1/11/2014,0,0,FALSE,100
3.42,5,4.8,1.21,Astapor,6/29/2014,iPhone,1/10/2014,21.4,0,TRUE,28.6
1.64,4.8,4.5,1.14,King's Landing,6/16/2014,iPhone,1/5/2014,22.9,10,FALSE,62.9
4.43,4.7,5,1.17,Winterfell,6/28/2014,iPhone,1/18/2014,33.3,0,FALSE,66.7
4.01,5,5,1,Winterfell,5/24/2014,iPhone,1/31/2014,0,0,TRUE,0
2.1,4.4,4,1,Winterfell,4/10/2014,iPhone,1/21/2014,0,2,TRUE,50
7.63,5,5,1,Winterfell,1/25/2014,iPhone,1/24/2014,0,2,TRUE,50
1.89,4.5,4.5,1,Winterfell,2/2/2014,iPhone,1/31/2014,0,4,FALSE,0
3.18,5,4,1,Winterfell,1/27/2014,Android,1/26/2014,0,1,FALSE,100
3.72,5,5,1,Winterfell,5/18/2014,Android,1/20/2014,0,1,FALSE,20
3.8,4.7,5,1,Astapor,3/28/2014,iPhone,1/11/2014,0,0,FALSE,100
18.03,5,5,1,Astapor,1/19/2014,Android,1/12/2014,0,1,FALSE,0
2.92,4.7,5,1,Astapor,6/1/2014,iPhone,1/14/2014,0,1,TRUE,30
2.03,4.7,4.9,1,King's Landing,6/25/2014,iPhone,1/12/2014,0,0,TRUE,42.9
12.6,5,5,1,Astapor,1/4/2014,iPhone,1/4/2014,0,1,FALSE,0
2.86,5,5,1,King's Landing,6/20/2014,iPhone,1/31/2014,0,2,TRUE,42.9
18.57,5,5,1,King's Landing,6/28/2014,Android,1/5/2014,0,5,TRUE,100
1.5,3.5,5,1.63,Astapor,1/12/2014,iPhone,1/11/2014,100,2,FALSE,0
2.36,5,,1,Winterfell,1/7/2014,Android,1/6/2014,0,1,FALSE,100
1.73,5,5,1,Winterfell,2/22/2014,Android,1/20/2014,0,0,FALSE,100
3.37,3.5,5,1,Astapor,1/31/2014,Android,1/30/2014,0,2,FALSE,100
2.11,5,1,1,Winterfell,3/14/2014,iPhone,1/24/2014,0,0,TRUE,100
5.45,5,,1,Astapor,6/17/2014,iPhone,1/9/2014,0,0,FALSE,100
2.2,5,4,1,Winterfell,1/15/2014,iPhone,1/14/2014,0,1,FALSE,100
3.88,5,5,1,Winterfell,4/6/2014,Android,1/31/2014,0,1,FALSE,50
9.77,5,2,1,Astapor,1/15/2014,Android,1/7/2014,0,1,FALSE,100
1.75,5,4.5,1,Astapor,4/6/2014,Android,1/25/2014,0,3,TRUE,0
3.56,5,4,1.25,King's Landing,1/18/2014,iPhone,1/17/2014,100,1,FALSE,100
20.32,5,5,1,Astapor,3/18/2014,,1/28/2014,0,0,FALSE,100
14.37,5,5,1,King's Landing,4/19/2014,iPhone,1/5/2014,0,0,FALSE,75
4.46,2,4,1,Astapor,2/25/2014,iPhone,1/30/2014,0,1,FALSE,100
12.52,5,4,1,Astapor,1/27/2014,iPhone,1/15/2014,0,1,FALSE,100
4.2,4.6,3.9,1.02,Astapor,6/13/2014,iPhone,1/2/2014,3.5,2,FALSE,69
2.74,4,3,1,Winterfell,3/17/2014,Android,1/28/2014,0,1,TRUE,0
18.15,5,,1,Winterfell,5/6/2014,iPhone,1/1/2014,0,0,TRUE,100
7.54,5,5,1,King's Landing,1/5/2014,iPhone,1/4/2014,0,1,FALSE,0
10.16,5,5,1,Winterfell,5/25/2014,iPhone,1/15/2014,0,0,TRUE,75
26.9,5,,1,Winterfell,1/26/2014,Android,1/1/2014,0,1,TRUE,0
3.15,3.8,5,1.05,King's Landing,6/8/2014,iPhone,1/1/2014,20,1,FALSE,20
4.54,5,5,1,Winterfell,1/19/2014,iPhone,1/19/2014,0,1,FALSE,0
0,5,,1,Winterfell,1/14/2014,Android,1/11/2014,0,1,FALSE,100
8.91,5,5,1,Winterfell,6/23/2014,iPhone,1/11/2014,0,2,TRUE,33.3
10.37,4,4,1.25,Winterfell,5/17/2014,Android,1/23/2014,50,0,FALSE,75
1.34,5,,1,Winterfell,1/29/2014,Android,1/29/2014,0,1,FALSE,100
4.42,4.5,4.5,1,Winterfell,6/25/2014,iPhone,1/25/2014,0,3,TRUE,20
5.99,3,5,1,Winterfell,1/16/2014,iPhone,1/12/2014,0,4,FALSE,100
1.78,5,5,1.04,King's Landing,6/21/2014,iPhone,1/9/2014,14.3,0,TRUE,42.9
1.27,5,5,1,Winterfell,2/21/2014,iPhone,1/29/2014,0,1,FALSE,100
8,4.8,4,1,Winterfell,6/11/2014,iPhone,1/27/2014,0,3,TRUE,62.5
3.75,5,3.7,2.25,Winterfell,3/2/2014,iPhone,1/8/2014,66.7,0,FALSE,33.3
1.38,4,5,2,Winterfell,3/3/2014,iPhone,1/26/2014,50,1,FALSE,0
4.58,5,5,1,Winterfell,5/16/2014,iPhone,1/16/2014,0,0,FALSE,100
2.34,4.6,4.6,1.02,Winterfell,6/29/2014,iPhone,1/11/2014,2.7,22,TRUE,83.8
27.32,5,5,1,King's Landing,6/27/2014,iPhone,1/17/2014,0,1,FALSE,100
2.5,4.5,4.6,1,Winterfell,5/20/2014,iPhone,1/27/2014,0,2,FALSE,57.1
6.87,5,4.5,1.2,King's Landing,6/29/2014,iPhone,1/12/2014,26.1,2,TRUE,52.2
5.28,5,5,1,Winterfell,5/12/2014,iPhone,1/6/2014,0,0,FALSE,66.7
2.09,5,5,1,Astapor,5/27/2014,iPhone,1/9/2014,0,0,TRUE,100
3.69,5,5,1,Winterfell,6/18/2014,iPhone,1/22/2014,0,0,FALSE,100
2.52,5,5,1,Astapor,1/26/2014,Android,1/19/2014,0,3,FALSE,0
14.93,5,,1,Winterfell,1/26/2014,iPhone,1/24/2014,0,1,FALSE,0
11.78,5,5,1,Astapor,5/9/2014,Android,1/6/2014,0,0,FALSE,100
16.88,3,5,1,Winterfell,5/14/2014,iPhone,1/14/2014,0,0,FALSE,100
2.34,5,5,1,King's Landing,6/29/2014,iPhone,1/17/2014,0,0,FALSE,0
0.89,3,5,1,Winterfell,2/10/2014,iPhone,1/10/2014,0,0,FALSE,100
3.07,5,5,1,Winterfell,1/19/2014,Android,1/18/2014,0,1,FALSE,0
3.81,4.9,4.3,1.04,Astapor,6/20/2014,iPhone,1/18/2014,7.1,7,FALSE,57.1
19.77,4,,1,Winterfell,1/24/2014,iPhone,1/24/2014,0,1,TRUE,100
2.7,4.5,4.5,1.5,King's Landing,6/27/2014,Android,1/11/2014,50,0,FALSE,50
2.66,4.3,4.7,1,Winterfell,6/28/2014,iPhone,1/6/2014,0,8,TRUE,72.2
2.6,5,5,1.75,Winterfell,2/16/2014,Android,1/20/2014,100,1,FALSE,0
12.21,5,,1,King's Landing,6/14/2014,Android,1/28/2014,0,0,TRUE,100
2.34,4.8,4.9,1.04,Winterfell,6/29/2014,iPhone,1/19/2014,7.7,6,FALSE,0
10.61,5,4.3,1.13,Winterfell,5/18/2014,Android,1/25/2014,25,1,TRUE,25
7.89,5,,1,King's Landing,3/31/2014,iPhone,1/18/2014,0,0,FALSE,0
5.31,5,,1,Astapor,5/5/2014,iPhone,1/29/2014,0,2,FALSE,100
1.69,5,4.6,1,Winterfell,6/29/2014,Android,1/18/2014,0,0,FALSE,40
5.04,4.9,4.8,1,Astapor,6/28/2014,iPhone,1/24/2014,0,3,TRUE,39.1
6.8,5,5,1,King's Landing,6/28/2014,iPhone,1/24/2014,0,0,FALSE,100
17.87,5,5,1,Winterfell,5/22/2014,iPhone,1/6/2014,0,0,TRUE,100
24.43,5,5,1,Astapor,5/17/2014,Android,1/18/2014,0,1,TRUE,0
2.69,4.7,5,1.04,King's Landing,6/30/2014,iPhone,1/25/2014,4.9,2,FALSE,46.3
18.61,2,1,1,Winterfell,1/6/2014,iPhone,1/6/2014,0,1,TRUE,100
9.31,4,,1,Winterfell,6/12/2014,iPhone,1/28/2014,0,1,TRUE,100
7.17,4.3,5,1,Winterfell,6/29/2014,iPhone,1/19/2014,0,4,TRUE,45.5
12.96,5,5,1,Winterfell,4/30/2014,Android,1/5/2014,0,0,FALSE,100
10.68,5,,1,Winterfell,3/26/2014,iPhone,1/24/2014,0,0,FALSE,100
1.62,5,4,1,Winterfell,6/29/2014,Android,1/1/2014,0,0,TRUE,42.9
7.6,5,4.5,1,Astapor,4/16/2014,iPhone,1/24/2014,0,1,FALSE,100
1.53,4.8,5,1.09,King's Landing,6/28/2014,iPhone,1/26/2014,18.2,6,FALSE,45.5
5.72,5,,1,Astapor,1/18/2014,Android,1/18/2014,0,1,FALSE,0
16.19,4.3,5,1,Astapor,6/21/2014,iPhone,1/26/2014,0,2,FALSE,33.3
3.28,5,5,1,Astapor,5/26/2014,iPhone,1/10/2014,0,0,FALSE,100
12.45,4.8,,1,King's Landing,6/16/2014,Android,1/20/2014,0,2,FALSE,100
6.46,4.9,4.4,1,Astapor,6/26/2014,iPhone,1/25/2014,0,5,TRUE,87.5
5.05,4.3,5,1.13,Winterfell,5/18/2014,iPhone,1/1/2014,25,0,FALSE,25
13.83,4.8,4.5,1.08,Astapor,5/16/2014,iPhone,1/22/2014,16.7,2,TRUE,83.3
3.42,5,4,1,Astapor,1/9/2014,Android,1/8/2014,0,1,FALSE,100
3.04,5,5,1.38,Winterfell,5/4/2014,iPhone,1/30/2014,50,0,FALSE,50
17.04,5,,1,Winterfell,3/27/2014,iPhone,1/11/2014,0,0,TRUE,100
19.07,5,4.5,1,Winterfell,6/21/2014,iPhone,1/26/2014,0,1,FALSE,50
1.13,5,5,1,King's Landing,1/9/2014,Android,1/8/2014,0,2,FALSE,100
2.82,4,,1.13,Astapor,3/28/2014,Android,1/4/2014,50,1,TRUE,50
8.09,5,5,1,Winterfell,3/3/2014,iPhone,1/26/2014,0,2,FALSE,100
3.34,5,,1.15,King's Landing,6/25/2014,iPhone,1/24/2014,20,1,TRUE,100
20.03,5,,1,King's Landing,6/1/2014,Android,1/1/2014,0,0,FALSE,0
5.38,5,,1,Astapor,1/17/2014,iPhone,1/16/2014,0,1,FALSE,100
10.73,5,5,1,Astapor,1/18/2014,iPhone,1/17/2014,0,1,FALSE,0
17.63,5,5,1,Winterfell,4/24/2014,iPhone,1/3/2014,0,0,FALSE,100
6.2,3,3,1,Winterfell,1/11/2014,Android,1/10/2014,0,1,TRUE,100
4.56,4.9,2.7,1,Astapor,5/19/2014,iPhone,1/19/2014,0,0,TRUE,45.5
2.99,4.3,4.2,1,Winterfell,6/23/2014,iPhone,1/17/2014,0,4,TRUE,45.5
3.56,5,5,1,Winterfell,6/26/2014,iPhone,1/10/2014,0,2,FALSE,87.5
1.59,5,5,1,Winterfell,6/11/2014,iPhone,1/11/2014,0,0,TRUE,100
0.68,5,4,1,Winterfell,1/9/2014,iPhone,1/8/2014,0,2,FALSE,100
9.15,5,4.3,1,King's Landing,2/10/2014,Android,1/31/2014,0,3,TRUE,66.7
5.76,5,4.5,1,Astapor,4/6/2014,iPhone,1/1/2014,0,5,FALSE,44.4
3.19,4.7,4.6,1,Winterfell,6/27/2014,iPhone,1/18/2014,0,5,TRUE,55.6
0.7,4.7,4,1,Winterfell,1/17/2014,Android,1/16/2014,0,3,TRUE,100
7.69,5,5,1.25,Winterfell,5/11/2014,iPhone,1/24/2014,25,0,FALSE,0
1.86,4.5,5,1,Winterfell,6/22/2014,iPhone,1/25/2014,0,0,TRUE,37.5
5.82,5,5,1,Astapor,3/6/2014,iPhone,1/31/2014,0,0,TRUE,100
3.84,5,5,1.09,King's Landing,6/22/2014,iPhone,1/18/2014,12.5,3,FALSE,50
2.32,5,,1,Astapor,1/30/2014,Android,1/30/2014,0,1,TRUE,100
2.37,5,,1,King's Landing,6/29/2014,iPhone,1/27/2014,0,0,TRUE,0
1.17,5,5,1,Winterfell,1/6/2014,iPhone,1/5/2014,0,1,FALSE,100
6,,2,4,Astapor,2/9/2014,iPhone,1/25/2014,100,1,FALSE,0
4.14,5,4.6,1.1,Winterfell,5/24/2014,Android,1/31/2014,15.4,5,TRUE,69.2
3.23,5,5,1,Astapor,3/28/2014,Android,1/3/2014,0,0,TRUE,100
1.82,,,1,Winterfell,1/26/2014,iPhone,1/25/2014,0,1,FALSE,0
3.29,4.8,5,1,Astapor,6/8/2014,iPhone,1/30/2014,0,0,FALSE,0
13.12,5,,1,Winterfell,2/1/2014,iPhone,1/25/2014,0,1,FALSE,0
2.51,4.3,4.5,1.21,King's Landing,6/29/2014,iPhone,1/19/2014,42.9,2,TRUE,14.3
0.63,5,,1,Astapor,5/9/2014,iPhone,1/21/2014,0,0,TRUE,100
1.83,5,3.8,1.19,King's Landing,5/10/2014,iPhone,1/18/2014,17.6,3,FALSE,76.5
1.88,5,4.8,1.08,Astapor,2/10/2014,iPhone,1/21/2014,16.7,6,FALSE,33.3
3.34,4.5,4,1.13,Astapor,1/13/2014,iPhone,1/10/2014,25,4,FALSE,25
7.81,4.8,4.9,1.12,Astapor,6/18/2014,iPhone,1/15/2014,14.8,1,TRUE,44.4
3.57,5,,1,Astapor,3/16/2014,iPhone,1/27/2014,0,0,FALSE,0
1.34,5,,1,Winterfell,4/1/2014,Android,1/3/2014,0,0,TRUE,100
3.3,4.7,3.7,1,Astapor,6/9/2014,iPhone,1/30/2014,0,7,TRUE,78.6
6.71,5,,1,Astapor,3/10/2014,Android,1/17/2014,0,0,FALSE,0
2.41,4.9,4.9,1.22,Astapor,6/21/2014,iPhone,1/16/2014,27.3,5,FALSE,63.6
8.08,5,5,1,Astapor,1/13/2014,iPhone,1/13/2014,0,1,FALSE,100
